job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
433307,uvaiR,vcefl,,8,8,COMPLETED,185004.0,293,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,185004.0,185297.0,0,0.0,293.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433311,uvaiR,vcefl,,8,8,COMPLETED,185147.0,283,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,185147.0,185430.0,0,0.0,283.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433313,uvaiR,vcefl,,8,8,CANCELLED,185284.0,826,LunarLander,PPO,32,0,5.156,12.425,0.0,2051.0,0,185284.0,186110.0,0,0.0,826.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433318,uvaiR,vcefl,,8,8,CANCELLED,185562.0,672,ShapeNet,PointNet,32,1,136.02,7.0,5.615,3334.0,0,185562.0,186234.0,0,0.0,672.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433320,uvaiR,vcefl,,8,8,CANCELLED,185787.0,880,CIFAR-10,EfficientNet,64,1,1371.123,25.5,3.167,2290.0,0,185787.0,186667.0,0,0.0,880.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433324,uvaiR,vcefl,,8,8,CANCELLED,186082.0,386,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,186082.0,186468.0,0,0.0,386.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433327,uvaiR,vcefl,,8,8,COMPLETED,186271.0,647,MovieLens,NeuMF,128,0,29773.989,10.483,2.011,2050.0,0,186271.0,186918.0,0,0.0,647.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433328,uvaiR,vcefl,,8,8,CANCELLED,186273.0,357,ShapeNet,PointNet,32,1,136.02,7.0,5.615,3334.0,0,186273.0,186630.0,0,0.0,357.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433331,uvaiR,vcefl,,8,8,CANCELLED,186394.0,749,ShapeNet,PointNet,128,1,144.304,5.551,4.878,6976.0,0,186394.0,187143.0,0,0.0,749.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433337,uvaiR,vcefl,,8,8,CANCELLED,186645.0,4720,MovieLens,NeuMF,64,0,15393.307,10.483,2.023,2050.0,0,186645.0,191365.0,0,0.0,4720.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433405,uvaiR,vcefl,,8,8,CANCELLED,188286.0,2590,CIFAR-10,MobileNetV2,128,1,2866.76,55.714,28.286,2992.0,0,188286.0,190876.0,0,0.0,2590.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433420,uvaiR,vcefl,,8,8,COMPLETED,189160.0,197,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,189160.0,189357.0,0,0.0,197.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433426,uvaiR,vcefl,,8,8,CANCELLED,189434.0,355,ShapeNet,PointNet,32,1,136.02,7.0,5.615,3334.0,0,189434.0,189789.0,0,0.0,355.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433433,uvaiR,vcefl,,8,8,CANCELLED,189648.0,2325,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,189648.0,191973.0,0,0.0,2325.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433484,uvaiR,vcefl,,8,8,CANCELLED,190516.0,1344,CIFAR-10,MobileNetV2,32,1,895.251,28.833,7.333,2320.0,0,190516.0,191860.0,0,0.0,1344.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433505,uvaiR,vcefl,,8,8,CANCELLED,191251.0,740,CIFAR-10,MobileNetV2,64,0,2228.976,69.5,39.5,3010.0,0,191251.0,191991.0,0,0.0,740.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433510,uvaiR,vcefl,,8,8,CANCELLED,191514.0,2755,LunarLander,PPO,64,0,14.246,11.949,0.0,2051.0,0,191514.0,194269.0,0,0.0,2755.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433512,uvaiR,vcefl,,8,8,CANCELLED,191546.0,2642,MovieLens,NeuMF,128,0,29773.989,10.483,2.011,2050.0,0,191546.0,194188.0,0,0.0,2642.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433536,uvaiR,vcefl,,8,8,CANCELLED,192046.0,13,ShapeNet,PointNet,32,1,136.02,7.0,5.615,3334.0,0,192046.0,192059.0,0,0.0,13.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433537,uvaiR,vcefl,,8,8,CANCELLED,192056.0,1605,ShapeNet,PointNet,32,1,136.02,7.0,5.615,3334.0,0,192056.0,193661.0,0,0.0,1605.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433543,uvaiR,vcefl,,8,8,CANCELLED,192426.0,492,ShapeNet,PointNet,32,1,136.02,7.0,5.615,3334.0,0,192426.0,192918.0,0,0.0,492.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433544,uvaiR,vcefl,,8,8,CANCELLED,192434.0,209,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,192434.0,192643.0,0,0.0,209.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433549,uvaiR,vcefl,,8,8,COMPLETED,192629.0,194,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,192629.0,192823.0,0,0.0,194.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433566,uvaiR,vcefl,,8,8,COMPLETED,193452.0,273,CIFAR-10,MobileNetV2,64,0,2228.976,69.5,39.5,3010.0,0,193452.0,193725.0,0,0.0,273.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433568,uvaiR,vcefl,,8,8,COMPLETED,193691.0,266,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,193691.0,193957.0,0,0.0,266.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433570,uvaiR,vcefl,,8,8,COMPLETED,193826.0,256,ShapeNet,PointNet,32,1,136.02,7.0,5.615,3334.0,0,193826.0,194082.0,0,0.0,256.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433585,uvaiR,vcefl,,8,8,CANCELLED,194010.0,924,ShapeNet,PointNet,64,0,138.049,7.75,6.571,6346.0,0,194010.0,194934.0,0,0.0,924.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433593,uvaiR,vcefl,,8,8,CANCELLED,194371.0,372,ShapeNet,PointNet,128,1,144.304,5.551,4.878,6976.0,0,194371.0,194743.0,0,0.0,372.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433599,uvaiR,vcefl,,8,8,COMPLETED,194491.0,14743,LSUN,DCGAN,128,1,6097.188,66.333,32.417,2684.0,0,194491.0,209234.0,0,0.0,14743.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433600,uvaiR,vcefl,,8,8,CANCELLED,194509.0,677,ShapeNet,PointNet,128,1,144.304,5.551,4.878,6976.0,0,194509.0,195186.0,0,0.0,677.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433614,uvaiR,vcefl,,8,8,COMPLETED,194897.0,39960,ImageNet,MobileNetV3,32,1,978.255,34.966,7.931,2382.0,0,194897.0,234857.0,0,0.0,39960.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433822,uvaiR,vcefl,,8,8,COMPLETED,213971.0,485,BipedalWalker,TD3,64,0,59.807,13.303,0.0,2059.0,0,213971.0,214456.0,0,0.0,485.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433826,uvaiR,vcefl,,8,8,COMPLETED,214183.0,2690,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,214183.0,216873.0,0,0.0,2690.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433827,uvaiR,vcefl,,8,8,COMPLETED,214270.0,284,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,214270.0,214554.0,0,0.0,284.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433866,uvaiR,vcefl,,8,8,COMPLETED,215316.0,39559,ImageNet,MobileNetV3,64,0,2537.436,80.522,44.261,3266.0,0,215316.0,254875.0,0,0.0,39559.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433983,uvaiR,vcefl,,8,8,COMPLETED,217597.0,41120,ImageNet,MobileNetV3,64,0,2537.436,80.522,44.261,3266.0,0,217597.0,258717.0,0,0.0,41120.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434554,uvaiR,vcefl,,8,8,CANCELLED,242308.0,2115,LunarLander,PPO,64,0,14.246,11.949,0.0,2051.0,0,242308.0,244423.0,0,0.0,2115.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434555,uvaiR,vcefl,,8,8,CANCELLED,242330.0,2045,MovieLens,NeuMF,128,1,23040.359,9.643,1.983,2050.0,0,242330.0,244375.0,0,0.0,2045.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434573,uvaiR,vcefl,,8,8,CANCELLED,243015.0,3893,LunarLander,PPO,64,0,14.246,11.949,0.0,2051.0,0,243015.0,246908.0,0,0.0,3893.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434574,uvaiR,vcefl,,8,8,CANCELLED,243025.0,3859,BipedalWalker,TD3,64,0,59.807,13.303,0.0,2059.0,0,243025.0,246884.0,0,0.0,3859.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434631,uvaiR,vcefl,,8,8,CANCELLED,244033.0,120,CIFAR-10,MobileNetV2,64,1,1710.877,41.833,16.167,2528.0,0,244033.0,244153.0,0,0.0,120.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434636,uvaiR,vcefl,,8,8,COMPLETED,244088.0,4950,LunarLander,PPO,128,0,46.507,14.96,0.0,2051.0,0,244088.0,249038.0,0,0.0,4950.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434647,uvaiR,vcefl,,8,8,CANCELLED,244284.0,17,CIFAR-10,VGG,32,1,3556.88,48.0,19.0,2762.0,0,244284.0,244301.0,0,0.0,17.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434648,uvaiR,vcefl,,8,8,CANCELLED,244300.0,258,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,244300.0,244558.0,0,0.0,258.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434652,uvaiR,vcefl,,8,8,CANCELLED,244351.0,101,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,244351.0,244452.0,0,0.0,101.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434655,uvaiR,vcefl,,8,8,COMPLETED,244388.0,12221,Wikitext2,LSTM,64,1,4495.889,73.625,60.0,3750.0,0,244388.0,256609.0,0,0.0,12221.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434656,uvaiR,vcefl,,8,8,COMPLETED,244388.0,12240,Wikitext2,LSTM,128,0,3951.755,76.2,63.75,5616.0,0,244388.0,256628.0,0,0.0,12240.0,end,"[{3: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434940,uvaiR,vcefl,,8,8,COMPLETED,250670.0,109,ShapeNet,PointNet,128,0,140.209,8.982,7.589,10474.0,0,250670.0,250779.0,0,0.0,109.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
