job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
433241,u7I4U,vchbv,,24,24,CANCELLED,173016.0,740,ShapeNet,PointNet,64,0,138.049,7.75,6.571,6346.0,0,173016.0,173756.0,0,0.0,740.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433242,u7I4U,vchbv,,24,24,CANCELLED,173292.0,76778,ImageNet,MobileNetV3,32,1,978.255,34.966,7.931,2382.0,0,173292.0,250070.0,0,0.0,76778.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433295,u0aGM,vchbv,,8,40,FAILED,184514.0,44,CIFAR-10,MobileNetV2,64,1,1710.877,41.833,16.167,2528.0,0,184514.0,184558.0,0,0.0,44.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433550,u9MIU,vchbv,,8,8,CANCELLED,192633.0,175,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,192633.0,192808.0,0,0.0,175.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433551,u9MIU,vchbv,,8,8,CANCELLED,192703.0,304,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,192703.0,193007.0,0,0.0,304.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433553,u9MIU,vchbv,,8,8,CANCELLED,192840.0,437,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,192840.0,193277.0,0,0.0,437.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433558,u9MIU,vchbv,,8,8,CANCELLED,192996.0,388,ShapeNet,PointNet,128,0,140.209,8.982,7.589,10474.0,0,192996.0,193384.0,0,0.0,388.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433561,u9MIU,vchbv,,8,8,CANCELLED,193141.0,564,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,193141.0,193705.0,0,0.0,564.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433567,u9MIU,vchbv,,8,8,CANCELLED,193463.0,822,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,193463.0,194285.0,0,0.0,822.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433573,uPC9d,vchbv,,1,1,COMPLETED,193880.0,44,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,193880.0,193924.0,0,0.0,44.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433574,uPC9d,vchbv,,1,1,COMPLETED,193897.0,53,CIFAR-10,VGG,32,1,3556.88,48.0,19.0,2762.0,0,193897.0,193950.0,0,0.0,53.0,end,[{0: [1]}],-1,0,0,0,0,1,1,,0,0
433580,uPC9d,vchbv,,1,1,COMPLETED,193938.0,53,CIFAR-10,ResNet18,64,0,3711.999,80.667,47.0,2660.0,0,193938.0,193991.0,0,0.0,53.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433583,uPC9d,vchbv,,1,1,FAILED,193959.0,47,CIFAR-10,VGG,32,1,3556.88,48.0,19.0,2762.0,0,193959.0,194006.0,0,0.0,47.0,end,[{0: [1]}],-1,0,0,0,0,1,1,,0,0
433584,uPC9d,vchbv,,1,1,COMPLETED,194003.0,49,ShapeNet,PointNet,64,0,138.049,7.75,6.571,6346.0,0,194003.0,194052.0,0,0.0,49.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433586,uPC9d,vchbv,,1,1,COMPLETED,194063.0,46,CIFAR-10,MobileNetV2,128,1,2866.76,55.714,28.286,2992.0,0,194063.0,194109.0,0,0.0,46.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433587,uPC9d,vchbv,,1,1,COMPLETED,194082.0,45,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,194082.0,194127.0,0,0.0,45.0,end,[{0: [1]}],-1,0,0,0,0,1,1,,0,0
433588,uPC9d,vchbv,,1,1,FAILED,194214.0,46,CIFAR-10,ResNet18,128,0,4903.86,96.25,67.0,3072.0,0,194214.0,194260.0,0,0.0,46.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433590,uPC9d,vchbv,,1,1,CANCELLED,194327.0,54,CIFAR-10,ResNet18,32,0,1763.905,58.667,25.0,2360.0,0,194327.0,194381.0,0,0.0,54.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433592,uPC9d,vchbv,,1,1,FAILED,194349.0,44,CIFAR-10,ResNet18,128,1,5699.482,78.0,43.667,4036.0,0,194349.0,194393.0,0,0.0,44.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433594,uPC9d,vchbv,,1,1,COMPLETED,194372.0,52,CIFAR-10,MobileNetV2,128,1,2866.76,55.714,28.286,2992.0,0,194372.0,194424.0,0,0.0,52.0,end,[{0: [1]}],-1,0,0,0,0,1,1,,0,0
433596,uPC9d,vchbv,,1,1,FAILED,194395.0,44,CIFAR-10,ResNet18,128,1,5699.482,78.0,43.667,4036.0,0,194395.0,194439.0,0,0.0,44.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433598,uPC9d,vchbv,,1,1,COMPLETED,194478.0,60,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,194478.0,194538.0,0,0.0,60.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433602,uPC9d,vchbv,,1,1,COMPLETED,194546.0,52,LunarLander,PPO,32,0,5.156,12.425,0.0,2051.0,0,194546.0,194598.0,0,0.0,52.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433607,uPC9d,vchbv,,1,1,COMPLETED,194581.0,61,LunarLander,PPO,128,0,46.507,14.96,0.0,2051.0,0,194581.0,194642.0,0,0.0,61.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433609,uPC9d,vchbv,,1,1,FAILED,194644.0,42,BipedalWalker,TD3,32,0,16.292,12.828,0.0,2059.0,0,194644.0,194686.0,0,0.0,42.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433610,uPC9d,vchbv,,1,1,COMPLETED,194666.0,43,CIFAR-10,EfficientNet,128,1,2802.744,33.571,7.286,2358.0,0,194666.0,194709.0,0,0.0,43.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433611,uPC9d,vchbv,,1,1,COMPLETED,194703.0,43,MovieLens,NeuMF,64,1,12173.612,9.836,2.009,2050.0,0,194703.0,194746.0,0,0.0,43.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433612,uPC9d,vchbv,,1,1,COMPLETED,194740.0,43,CIFAR-10,ResNet18,32,1,1649.038,40.667,20.333,2330.0,0,194740.0,194783.0,0,0.0,43.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433613,uPC9d,vchbv,,1,1,COMPLETED,194781.0,59,ShapeNet,PointNet,64,0,138.049,7.75,6.571,6346.0,0,194781.0,194840.0,0,0.0,59.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433623,u9MIU,vchbv,,8,8,COMPLETED,196270.0,426,CIFAR-10,EfficientNet,128,1,2802.744,33.571,7.286,2358.0,0,196270.0,196696.0,0,0.0,426.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433676,u9MIU,vchbv,,8,8,COMPLETED,198438.0,423,CIFAR-10,MobileNetV2,128,1,2866.76,55.714,28.286,2992.0,0,198438.0,198861.0,0,0.0,423.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433681,u9MIU,vchbv,,8,8,COMPLETED,198963.0,428,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,198963.0,199391.0,0,0.0,428.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433689,u9MIU,vchbv,,8,8,CANCELLED,199321.0,3698,MovieLens,NeuMF,128,0,29773.989,10.483,2.011,2050.0,0,199321.0,203019.0,0,0.0,3698.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433708,uqOcl,vchbv,,8,40,FAILED,199839.0,58,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,199839.0,199897.0,0,0.0,58.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433715,uqOcl,vchbv,,8,40,FAILED,200044.0,57,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,200044.0,200101.0,0,0.0,57.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433716,uqOcl,vchbv,,8,40,COMPLETED,200054.0,41356,SQuAD,BERT,32,1,119.911,99.593,74.23,16334.0,0,200054.0,241410.0,0,0.0,41356.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433717,uqOcl,vchbv,,8,40,COMPLETED,200063.0,43601,ImageNet,MobileNetV3,64,0,2537.436,80.522,44.261,3266.0,0,200063.0,243664.0,0,0.0,43601.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433718,uqOcl,vchbv,,8,40,COMPLETED,200070.0,46039,ImageNet,MobileNetV3,32,0,1304.503,45.409,19.727,2694.0,0,200070.0,246109.0,0,0.0,46039.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433765,u7I4U,vchbv,,8,8,FAILED,203505.0,47,CIFAR-10,VGG,128,1,7009.529,43.667,22.333,2666.0,0,203505.0,203552.0,0,0.0,47.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
