job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
433274,ug5JM,vcKrE,,8,1,CANCELLED,182661.0,10646,CIFAR-10,EfficientNet,128,0,3465.072,44.833,16.167,2580.0,0,182661.0,193307.0,0,0.0,10646.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433323,uPm6v,vcKrE,,3,1,COMPLETED,186075.0,126,CIFAR-10,ResNet18,32,1,1649.038,40.667,20.333,2330.0,0,186075.0,186201.0,0,0.0,126.0,end,"[{0: [0, 1, 2]}]",-1,0,0,0,0,1,1,,0,0
433325,uPm6v,vcKrE,,2,1,COMPLETED,186138.0,113,ShapeNet,PointNet,128,1,144.304,5.551,4.878,6976.0,0,186138.0,186251.0,0,0.0,113.0,end,"[{0: [0, 1]}]",-1,0,0,0,0,1,1,,0,0
433326,ug5JM,vcKrE,,8,1,CANCELLED,186213.0,1030,CIFAR-10,EfficientNet,64,0,1922.826,35.4,8.0,2766.0,0,186213.0,187243.0,0,0.0,1030.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433335,ug5JM,vcKrE,,8,1,CANCELLED,186562.0,74782,ImageNet,MobileNetV3,64,0,2537.436,80.522,44.261,3266.0,0,186562.0,261344.0,0,0.0,74782.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433363,ug5JM,vcKrE,,4,1,CANCELLED,187334.0,16680,LSUN,DCGAN,128,0,4659.802,94.0,41.0,3096.0,0,187334.0,204014.0,0,0.0,16680.0,end,"[{0: [0, 1, 2, 3]}]",-1,0,0,0,0,1,1,,0,0
433451,uPm6v,vcKrE,,2,1,COMPLETED,190080.0,123,ShapeNet,PointNet,64,0,138.049,7.75,6.571,6346.0,0,190080.0,190203.0,0,0.0,123.0,end,"[{0: [4, 5]}]",-1,0,0,0,0,1,1,,0,0
433452,uPm6v,vcKrE,,2,1,COMPLETED,190083.0,120,CIFAR-10,VGG,128,0,7260.35,50.5,34.0,3990.0,0,190083.0,190203.0,0,0.0,120.0,end,"[{0: [6, 7]}]",-1,0,0,0,0,1,1,,0,0
433475,uPm6v,vcKrE,,2,1,CANCELLED,190450.0,85606,ImageNet,MobileNetV3,128,0,3353.137,100.0,60.912,4428.0,0,190450.0,276056.0,0,0.0,85606.0,end,"[{0: [4, 5]}]",-1,0,0,0,0,1,1,,0,0
433476,uPm6v,vcKrE,,2,1,CANCELLED,190452.0,1079,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,190452.0,191531.0,0,0.0,1079.0,end,"[{0: [6, 7]}]",-1,0,0,0,0,1,1,,0,0
433492,uPm6v,vcKrE,,2,1,CANCELLED,190823.0,325,CIFAR-10,MobileNetV2,64,0,2228.976,69.5,39.5,3010.0,0,190823.0,191148.0,0,0.0,325.0,end,"[{1: [0, 1]}]",-1,0,0,0,0,1,1,,0,0
433523,uPm6v,vcKrE,,2,1,CANCELLED,191858.0,351,CIFAR-10,MobileNetV2,64,0,2228.976,69.5,39.5,3010.0,0,191858.0,192209.0,0,0.0,351.0,end,"[{0: [6, 7]}]",-1,0,0,0,0,1,1,,0,0
433532,uPm6v,vcKrE,,2,1,CANCELLED,191976.0,71407,ImageNet,MobileNetV3,64,0,2537.436,80.522,44.261,3266.0,0,191976.0,263383.0,0,0.0,71407.0,end,"[{1: [0, 1]}]",-1,0,0,0,0,1,1,,0,0
433552,udNnv,vcKrE,,4,1,COMPLETED,192773.0,15840,LSUN,DCGAN,128,0,4659.802,94.0,41.0,3096.0,0,192773.0,208613.0,0,0.0,15840.0,end,"[{1: [0, 1, 2, 3]}]",-1,0,0,0,0,1,1,,0,0
433556,ug5JM,vcKrE,,4,1,CANCELLED,192899.0,4209,LunarLander,PPO,32,0,5.156,12.425,0.0,2051.0,0,192899.0,197108.0,0,0.0,4209.0,end,"[{1: [0, 1, 2, 3]}]",-1,0,0,0,0,1,1,,0,0
433589,ug5JM,vcKrE,,4,1,CANCELLED,194310.0,137427,ImageNet,MobileNetV3,32,1,978.255,34.966,7.931,2382.0,0,194310.0,331737.0,0,0.0,137427.0,end,"[{1: [2, 3, 4, 5]}]",-1,0,0,0,0,1,1,,0,0
