job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
433394,uTVvi,vcLTP,,16,16,COMPLETED,187962.0,96,ShapeNet,PointNet,64,0,138.049,7.75,6.571,6346.0,0,187962.0,188059.0,0,0.0,97.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433398,uTVvi,vcLTP,,16,16,COMPLETED,188078.0,11607,LSUN,DCGAN,128,1,6097.188,66.333,32.417,2684.0,0,188078.0,199686.0,0,0.0,11608.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433407,uTVvi,vcLTP,,16,16,FAILED,188585.0,47,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,188585.0,188633.0,0,0.0,48.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433409,uTVvi,vcLTP,,16,16,COMPLETED,188669.0,179,ShapeNet,PointNet,128,1,144.304,5.551,4.878,6976.0,0,188669.0,188849.0,0,0.0,180.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433410,uTVvi,vcLTP,,1,1,COMPLETED,188673.0,508,ShapeNet,PointNet,32,1,136.02,7.0,5.615,3334.0,0,188673.0,189182.0,0,0.0,509.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433411,uTVvi,vcLTP,,16,16,COMPLETED,188741.0,190,BipedalWalker,TD3,32,0,16.292,12.828,0.0,2059.0,0,188741.0,188932.0,0,0.0,191.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433416,uTVvi,vcLTP,,16,16,COMPLETED,188915.0,204,CIFAR-10,MobileNetV2,32,1,895.251,28.833,7.333,2320.0,0,188915.0,189120.0,0,0.0,205.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433422,uTVvi,vcLTP,,16,16,FAILED,189236.0,25,CIFAR-10,MobileNetV2,32,0,1108.427,42.8,17.0,2508.0,0,189236.0,189262.0,0,0.0,26.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433423,uTVvi,vcLTP,,16,16,FAILED,189322.0,23,CIFAR-10,MobileNetV2,32,1,895.251,28.833,7.333,2320.0,0,189322.0,189346.0,0,0.0,24.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
433424,uTVvi,vcLTP,,16,16,FAILED,189336.0,28,ShapeNet,PointNet,128,1,144.304,5.551,4.878,6976.0,0,189336.0,189365.0,0,0.0,29.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
