job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
434309,ukTxb,vcvlY,,16,80,COMPLETED,223980.0,33084,Multi30k,Transformer,32,0,464.423,53.645,17.258,11949.258,0,223980.0,257065.0,0,0.0,33085.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434684,ukTxb,vcvlY,,16,80,COMPLETED,245620.0,61,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,245620.0,245682.0,0,0.0,62.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434686,ukTxb,vcvlY,,16,80,COMPLETED,245683.0,195,ShapeNet,PointNet,128,0,140.209,8.982,7.589,10474.0,0,245683.0,245879.0,0,0.0,196.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434688,ukTxb,vcvlY,,16,80,COMPLETED,245815.0,60,ShapeNet,PointNet,32,1,136.02,7.0,5.615,3334.0,0,245815.0,245876.0,0,0.0,61.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434692,ukTxb,vcvlY,,16,80,COMPLETED,245912.0,189,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,245912.0,246102.0,0,0.0,190.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434698,ukTxb,vcvlY,,16,80,COMPLETED,246024.0,55,CIFAR-10,ResNet18,32,1,1649.038,40.667,20.333,2330.0,0,246024.0,246080.0,0,0.0,56.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434702,ukTxb,vcvlY,,16,80,COMPLETED,246062.0,61,ShapeNet,PointNet,128,0,140.209,8.982,7.589,10474.0,0,246062.0,246124.0,0,0.0,62.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434713,ukTxb,vcvlY,,8,40,COMPLETED,246234.0,62,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,246234.0,246297.0,0,0.0,63.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434715,ukTxb,vcvlY,,8,40,COMPLETED,246277.0,65,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,246277.0,246343.0,0,0.0,66.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434725,ukTxb,vcvlY,,1,5,COMPLETED,246493.0,74,CIFAR-10,VGG,32,1,3556.88,48.0,19.0,2762.0,0,246493.0,246568.0,0,0.0,75.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
434729,ukTxb,vcvlY,,1,5,CANCELLED,246526.0,55,LunarLander,PPO,32,0,5.156,12.425,0.0,2051.0,0,246526.0,246582.0,0,0.0,56.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
434731,ukTxb,vcvlY,,1,5,COMPLETED,246545.0,65,CIFAR-10,VGG,128,0,7260.35,50.5,34.0,3990.0,0,246545.0,246611.0,0,0.0,66.0,end,[{0: [1]}],-1,0,0,0,0,1,1,,0,0
434733,ukTxb,vcvlY,,1,5,COMPLETED,246644.0,71,LunarLander,PPO,128,0,46.507,14.96,0.0,2051.0,0,246644.0,246716.0,0,0.0,72.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
434739,ukTxb,vcvlY,,1,5,CANCELLED,246744.0,836,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,246744.0,247581.0,0,0.0,837.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
434746,ukTxb,vcvlY,,16,80,COMPLETED,247119.0,41659,SQuAD,BERT,32,0,84.872,99.689,62.484,20162.0,0,247119.0,288779.0,0,0.0,41660.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434815,ukTxb,vcvlY,,16,80,COMPLETED,248730.0,61,ShapeNet,PointNet,32,1,136.02,7.0,5.615,3334.0,0,248730.0,248792.0,0,0.0,62.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434824,ukTxb,vcvlY,,16,80,COMPLETED,248944.0,58,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,248944.0,249003.0,0,0.0,59.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434826,ukTxb,vcvlY,,16,80,COMPLETED,248997.0,52,CIFAR-10,MobileNetV2,32,1,895.251,28.833,7.333,2320.0,0,248997.0,249050.0,0,0.0,53.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434839,ukTxb,vcvlY,,16,80,COMPLETED,249132.0,62,ShapeNet,PointNet,128,1,144.304,5.551,4.878,6976.0,0,249132.0,249195.0,0,0.0,63.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434846,ukTxb,vcvlY,,16,80,COMPLETED,249166.0,69,ShapeNet,PointNet,128,1,144.304,5.551,4.878,6976.0,0,249166.0,249236.0,0,0.0,70.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434849,ukTxb,vcvlY,,16,80,COMPLETED,249210.0,207,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,249210.0,249418.0,0,0.0,208.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434897,ukTxb,vcvlY,,16,80,COMPLETED,249903.0,61,LunarLander,PPO,128,0,46.507,14.96,0.0,2051.0,0,249903.0,249965.0,0,0.0,62.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
434905,ukTxb,vcvlY,,16,80,CANCELLED,250004.0,9068,CIFAR-10,MobileNetV2,32,0,1108.427,42.8,17.0,2508.0,0,250004.0,259073.0,0,0.0,9069.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",-1,0,0,0,0,1,1,,0,0
