job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
433260,uO2kr,vc8Gr,,16,80,FAILED,178949.0,6645,BipedalWalker,TD3,32,0,16.292,12.828,0.0,2059.0,0,178980.0,185626.0,0,31.0,6677.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",106319,0,0,0,0,1,1,,0,0
433270,uO2kr,vc8Gr,,16,80,CANCELLED,181257.0,7691,MovieLens,NeuMF,64,1,12173.612,9.836,2.009,2050.0,0,181260.0,188952.0,0,3.0,7695.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",123055,0,0,0,0,1,1,,0,0
433284,uO2kr,vc8Gr,,16,80,CANCELLED,183853.0,7389,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,183900.0,191290.0,0,47.0,7437.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",118223,0,0,0,0,1,1,,0,0
433297,uO2kr,vc8Gr,,8,40,FAILED,184634.0,1544,CIFAR-10,MobileNetV2,128,0,3516.037,98.833,65.333,4078.0,0,184680.0,186225.0,0,46.0,1591.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",12351,0,0,0,0,1,1,,0,0
433314,uO2kr,vc8Gr,,8,40,FAILED,185285.0,1582,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,185340.0,186923.0,0,55.0,1638.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",12655,0,0,0,0,1,1,,0,0
433317,uhP1L,vc8Gr,,8,40,COMPLETED,185534.0,683,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,185580.0,186264.0,0,46.0,730.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",5463,0,0,0,0,1,1,,0,0
433321,uO2kr,vc8Gr,,8,40,COMPLETED,185936.0,1644,CIFAR-10,MobileNetV2,32,0,1108.427,42.8,17.0,2508.0,0,185940.0,187585.0,0,4.0,1649.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",13151,0,0,0,0,1,1,,0,0
433329,uO2kr,vc8Gr,,16,80,CANCELLED,186324.0,6225,LunarLander,PPO,64,0,14.246,11.949,0.0,2051.0,0,186360.0,192586.0,0,36.0,6262.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}]",99599,0,0,0,0,1,1,,0,0
433332,uhP1L,vc8Gr,,8,40,COMPLETED,186425.0,1733,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,186480.0,188214.0,0,55.0,1789.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",13863,0,0,0,0,1,1,,0,0
433361,uhP1L,vc8Gr,,8,40,COMPLETED,187296.0,1616,ShapeNet,PointNet,128,1,144.304,5.551,4.878,6976.0,0,187320.0,188937.0,0,24.0,1641.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}]",12927,0,0,0,0,1,1,,0,0
433406,uO2kr,vc8Gr,,16,80,CANCELLED,188404.0,5280,ShapeNet,PointNet,32,1,136.02,7.0,5.615,3334.0,0,188460.0,193741.0,0,56.0,5337.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",84479,0,0,0,0,1,1,,0,0
433427,uO2kr,vc8Gr,,8,40,COMPLETED,189471.0,1557,ShapeNet,PointNet,32,1,136.02,7.0,5.615,3334.0,0,189480.0,191038.0,0,9.0,1567.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",12455,0,0,0,0,1,1,,0,0
433486,uO2kr,vc8Gr,,1,1,COMPLETED,190558.0,744,CIFAR-10,VGG,32,1,3556.88,48.0,19.0,2762.0,0,190560.0,191305.0,0,2.0,747.0,end,[{1: [0]}],743,0,0,0,0,1,1,,0,0
433493,uO2kr,vc8Gr,,16,80,FAILED,190829.0,30,CIFAR-10,MobileNetV2,64,1,1710.877,41.833,16.167,2528.0,0,190860.0,190891.0,0,31.0,62.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",479,0,0,0,0,1,1,,0,0
433494,uO2kr,vc8Gr,,16,80,FAILED,190961.0,35,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,190980.0,191016.0,0,19.0,55.0,end,"[{2: [0, 1, 2, 3, 4, 5, 6, 7]}, {3: [0, 1, 2, 3, 4, 5, 6, 7]}]",559,0,0,0,0,1,1,,0,0
433498,uO2kr,vc8Gr,,16,80,FAILED,191197.0,34,ShapeNet,PointNet,128,0,140.209,8.982,7.589,10474.0,0,191220.0,191255.0,0,23.0,58.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {2: [0, 1, 2, 3, 4, 5, 6, 7]}]",543,0,0,0,0,1,1,,0,0
433499,uO2kr,vc8Gr,,1,1,COMPLETED,191227.0,790,CIFAR-10,EfficientNet,128,1,2802.744,33.571,7.286,2358.0,0,191280.0,192071.0,0,53.0,844.0,end,[{2: [0]}],789,0,0,0,0,1,1,,0,0
433511,uO2kr,vc8Gr,,16,80,FAILED,191520.0,32,CIFAR-10,MobileNetV2,32,1,895.251,28.833,7.333,2320.0,0,191520.0,191553.0,0,0.0,33.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",511,0,0,0,0,1,1,,0,0
433514,uO2kr,vc8Gr,,16,80,FAILED,191736.0,48,ShapeNet,PointNet,64,0,138.049,7.75,6.571,6346.0,0,191760.0,191809.0,0,24.0,73.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",767,0,0,0,0,1,1,,0,0
433518,uO2kr,vc8Gr,,16,80,FAILED,191784.0,40,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,191820.0,191861.0,0,36.0,77.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",639,0,0,0,0,1,1,,0,0
433564,uO2kr,vc8Gr,,16,80,FAILED,193352.0,80,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,193380.0,193461.0,0,28.0,109.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",1279,0,0,0,0,1,1,,0,0
433569,uO2kr,vc8Gr,,1,1,FAILED,193769.0,21,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,193800.0,193822.0,0,31.0,53.0,end,[{0: [0]}],20,0,0,0,0,1,1,,0,0
433571,uO2kr,vc8Gr,,1,1,FAILED,193829.0,9,CIFAR-10,ResNet18,64,0,3711.999,80.667,47.0,2660.0,0,193860.0,193870.0,0,31.0,41.0,end,[{0: [0]}],8,0,0,0,0,1,1,,0,0
433575,uO2kr,vc8Gr,,1,1,CANCELLED,193899.0,2,CIFAR-10,VGG,32,1,3556.88,48.0,19.0,2762.0,0,193920.0,193923.0,0,21.0,24.0,end,[{0: [0]}],1,0,0,0,0,1,1,,0,0
433576,uO2kr,vc8Gr,,1,1,FAILED,193901.0,9,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,193920.0,193930.0,0,19.0,29.0,end,[{0: [1]}],8,0,0,0,0,1,1,,0,0
433579,uO2kr,vc8Gr,,1,1,FAILED,193929.0,5,CIFAR-10,VGG,32,1,3556.88,48.0,19.0,2762.0,0,193980.0,193986.0,0,51.0,57.0,end,[{0: [0]}],4,0,0,0,0,1,1,,0,0
433591,uO2kr,vc8Gr,,1,1,CANCELLED,194342.0,88,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,194400.0,194489.0,0,58.0,147.0,end,[{0: [0]}],87,0,0,0,0,1,1,,0,0
433620,uO2kr,vc8Gr,,1,1,COMPLETED,195745.0,804,LunarLander,PPO,32,0,5.156,12.425,0.0,2051.0,0,195780.0,196585.0,0,35.0,840.0,end,[{0: [0]}],803,0,0,0,0,1,1,,0,0
433624,uO2kr,vc8Gr,,16,80,CANCELLED,196407.0,5933,MovieLens,NeuMF,64,1,12173.612,9.836,2.009,2050.0,0,196440.0,202374.0,0,33.0,5967.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}, {1: [0, 1, 2, 3, 4, 5, 6, 7]}]",94927,0,0,0,0,1,1,,0,0
433669,ucfmW,vc8Gr,,8,24,CANCELLED,198172.0,201,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,198180.0,198382.0,0,8.0,210.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",1607,0,0,0,0,1,1,,0,0
