job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
433298,uLoqx,vcEwI,,1,16,COMPLETED,184718.0,4557,MovieLens,NeuMF,64,1,12173.612,9.836,2.009,2050.0,0,184740.0,189298.0,0,22.0,4580.0,end,[{0: [0]}],4556,0,0,0,0,1,1,,0,0
433347,uLoqx,vcEwI,,1,16,CANCELLED,187182.0,3,CIFAR-10,EfficientNet,64,0,1922.826,35.4,8.0,2766.0,0,187200.0,187204.0,0,18.0,22.0,end,[{0: [0]}],2,0,0,0,0,1,1,,0,0
433349,uLoqx,vcEwI,,1,16,COMPLETED,187186.0,1382,MovieLens,NeuMF,64,0,15393.307,10.483,2.023,2050.0,0,187200.0,188583.0,0,14.0,1397.0,end,[{0: [1]}],1381,0,0,0,0,1,1,,0,0
433535,uAwC8,vcEwI,,1,1,COMPLETED,192004.0,152,LunarLander,PPO,64,0,14.246,11.949,0.0,2051.0,0,192060.0,192213.0,0,56.0,209.0,end,[{0: [0]}],151,0,0,0,0,1,1,,0,0
433538,uAwC8,vcEwI,,1,1,COMPLETED,192077.0,102,CIFAR-10,VGG,32,0,2998.72,44.0,23.0,3386.0,0,192120.0,192223.0,0,43.0,146.0,end,[{0: [0]}],101,0,0,0,0,1,1,,0,0
433539,uAwC8,vcEwI,,1,1,CANCELLED,192142.0,495,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,192180.0,192676.0,0,38.0,534.0,end,[{0: [0]}],494,0,0,0,0,1,1,,0,0
433540,uAwC8,vcEwI,,1,1,COMPLETED,192307.0,108,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,192360.0,192469.0,0,53.0,162.0,end,[{0: [0]}],107,0,0,0,0,1,1,,0,0
433541,uAwC8,vcEwI,,1,1,COMPLETED,192363.0,140411,SQuAD,BERT,32,1,119.911,99.593,74.23,16334.0,0,192420.0,332832.0,0,57.0,140469.0,end,[{0: [0]}],140410,0,0,0,0,1,1,,0,0
433542,ucxTX,vcEwI,,1,1,COMPLETED,192412.0,207251,ImageNet,MobileNetV3,32,1,978.255,34.966,7.931,2382.0,0,192420.0,399672.0,0,8.0,207260.0,end,[{0: [1]}],207250,0,0,0,0,1,1,,0,0
433545,ucxTX,vcEwI,,1,1,COMPLETED,192442.0,256666,ImageNet,MobileNetV3,32,1,978.255,34.966,7.931,2382.0,0,192480.0,449147.0,0,38.0,256705.0,end,[{0: [0]}],256665,0,0,0,0,1,1,,0,0
433546,ucxTX,vcEwI,,1,1,COMPLETED,192464.0,196376,ImageNet,ResNet50,64,1,708.822,97.735,72.518,5376.0,0,192480.0,388857.0,0,16.0,196393.0,end,[{0: [1]}],196375,0,0,0,0,1,1,,0,0
