job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
433237,ug8IF,vcHvQ,,1,1,COMPLETED,172803.0,57,CIFAR-10,ResNet18,32,1,1649.038,40.667,20.333,2330.0,0,172860.0,172918.0,0,57.0,115.0,end,[{0: [0]}],56,0,0,0,0,1,1,,0,0
433238,ug8IF,vcHvQ,,1,1,COMPLETED,172803.0,55,CIFAR-10,ResNet18,128,1,5699.482,78.0,43.667,4036.0,0,172860.0,172916.0,0,57.0,113.0,end,[{0: [1]}],54,0,0,0,0,1,1,,0,0
433239,ug8IF,vcHvQ,,1,1,COMPLETED,172804.0,52,CIFAR-10,MobileNetV2,32,0,1108.427,42.8,17.0,2508.0,0,172860.0,172913.0,0,56.0,109.0,end,[{0: [2]}],51,0,0,0,0,1,1,,0,0
433340,ug8IF,vcHvQ,,1,1,FAILED,186848.0,61,LunarLander,PPO,64,0,14.246,11.949,0.0,2051.0,0,186900.0,186962.0,0,52.0,114.0,end,[{0: [0]}],60,0,0,0,0,1,1,,0,0
433341,ug8IF,vcHvQ,,1,1,FAILED,186877.0,67,MovieLens,NeuMF,128,1,23040.359,9.643,1.983,2050.0,0,186900.0,186968.0,0,23.0,91.0,end,[{0: [1]}],66,0,0,0,0,1,1,,0,0
433342,ug8IF,vcHvQ,,1,1,FAILED,186962.0,79,CIFAR-10,MobileNetV2,64,1,1710.877,41.833,16.167,2528.0,0,187020.0,187100.0,0,58.0,138.0,end,[{0: [0]}],78,0,0,0,0,1,1,,0,0
433344,ug8IF,vcHvQ,,1,1,COMPLETED,187036.0,47823,SQuAD,BERT,32,0,84.872,99.689,62.484,20162.0,0,187080.0,234904.0,0,44.0,47868.0,end,[{0: [0]}],47822,0,0,0,0,1,1,,0,0
433348,ug8IF,vcHvQ,,1,1,COMPLETED,187183.0,47891,SQuAD,BERT,32,1,119.911,99.593,74.23,16334.0,0,187200.0,235092.0,0,17.0,47909.0,end,[{0: [0]}],47890,0,0,0,0,1,1,,0,0
433350,ug8IF,vcHvQ,,1,1,COMPLETED,187190.0,47741,ImageNet,MobileNetV3,64,1,1908.093,52.355,18.065,2706.0,0,187200.0,234942.0,0,10.0,47752.0,end,[{0: [1]}],47740,0,0,0,0,1,1,,0,0
433352,ug8IF,vcHvQ,,1,1,CANCELLED,187215.0,9,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,187260.0,187270.0,0,45.0,55.0,end,[{0: [0]}],8,0,0,0,0,1,1,,0,0
433353,ug8IF,vcHvQ,,1,1,COMPLETED,187220.0,47387,SQuAD,BERT,32,0,84.872,99.689,62.484,20162.0,0,187260.0,234648.0,0,40.0,47428.0,end,[{0: [1]}],47386,0,0,0,0,1,1,,0,0
433354,ug8IF,vcHvQ,,1,1,COMPLETED,187239.0,48051,SQuAD,BERT,32,1,119.911,99.593,74.23,16334.0,0,187260.0,235312.0,0,21.0,48073.0,end,[{0: [2]}],48050,0,0,0,0,1,1,,0,0
433355,ug8IF,vcHvQ,,1,1,COMPLETED,187245.0,46973,ImageNet,MobileNetV3,32,1,978.255,34.966,7.931,2382.0,0,187260.0,234234.0,0,15.0,46989.0,end,[{0: [3]}],46972,0,0,0,0,1,1,,0,0
433356,ug8IF,vcHvQ,,1,1,COMPLETED,187250.0,47911,ImageNet,ResNet50,32,1,670.679,95.864,67.568,3838.0,0,187260.0,235172.0,0,10.0,47922.0,end,[{0: [4]}],47910,0,0,0,0,1,1,,0,0
433357,ug8IF,vcHvQ,,1,1,COMPLETED,187257.0,47183,SQuAD,BERT,32,0,84.872,99.689,62.484,20162.0,0,187260.0,234444.0,0,3.0,47187.0,end,[{0: [5]}],47182,0,0,0,0,1,1,,0,0
433358,ug8IF,vcHvQ,,1,1,COMPLETED,187262.0,46462,ImageNet,MobileNetV3,64,1,1908.093,52.355,18.065,2706.0,0,187320.0,233783.0,0,58.0,46521.0,end,[{0: [1]}],46461,0,0,0,0,1,1,,0,0
433359,ug8IF,vcHvQ,,1,1,COMPLETED,187268.0,46328,ImageNet,MobileNetV3,32,0,1304.503,45.409,19.727,2694.0,0,187320.0,233649.0,0,52.0,46381.0,end,[{0: [2]}],46327,0,0,0,0,1,1,,0,0
433360,ug8IF,vcHvQ,,1,1,FAILED,187282.0,16,BipedalWalker,TD3,64,0,59.807,13.303,0.0,2059.0,0,187320.0,187337.0,0,38.0,55.0,end,[{0: [3]}],15,0,0,0,0,1,1,,0,0
433362,ug8IF,vcHvQ,,1,1,FAILED,187326.0,15,CIFAR-10,MobileNetV2,32,1,895.251,28.833,7.333,2320.0,0,187380.0,187396.0,0,54.0,70.0,end,[{0: [2]}],14,0,0,0,0,1,1,,0,0
433364,ug8IF,vcHvQ,,1,1,COMPLETED,187348.0,46722,SQuAD,BERT,32,0,84.872,99.689,62.484,20162.0,0,187380.0,234103.0,0,32.0,46755.0,end,[{0: [3]}],46721,0,0,0,0,1,1,,0,0
433365,ug8IF,vcHvQ,,1,1,COMPLETED,187364.0,46691,ImageNet,ResNet50,32,1,670.679,95.864,67.568,3838.0,0,187380.0,234072.0,0,16.0,46708.0,end,[{0: [4]}],46690,0,0,0,0,1,1,,0,0
