job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
433240,u4TfD,vcWoR,,1,1,COMPLETED,172854.0,681,CIFAR-10,MobileNetV2,128,1,2866.76,55.714,28.286,2992.0,0,172860.0,173542.0,0,6.0,688.0,end,[{0: [0]}],680,0,0,0,0,1,1,,0,0
433243,u4TfD,vcWoR,,1,1,COMPLETED,173367.0,765,CIFAR-10,MobileNetV2,32,1,895.251,28.833,7.333,2320.0,0,173400.0,174166.0,0,33.0,799.0,end,[{0: [0]}],764,0,0,0,0,1,1,,0,0
433244,uhGr6,vcWoR,,2,10,FAILED,173630.0,90,CIFAR-10,MobileNetV2,32,1,895.251,28.833,7.333,2320.0,0,173640.0,173731.0,0,10.0,101.0,end,"[{0: [0, 1]}]",179,0,0,0,0,1,1,,0,0
433247,u4TfD,vcWoR,,1,1,COMPLETED,173932.0,679,LunarLander,PPO,32,0,5.156,12.425,0.0,2051.0,0,173940.0,174620.0,0,8.0,688.0,end,[{0: [0]}],678,0,0,0,0,1,1,,0,0
433248,uhGr6,vcWoR,,2,10,FAILED,174429.0,68,BipedalWalker,TD3,32,0,16.292,12.828,0.0,2059.0,0,174480.0,174549.0,0,51.0,120.0,end,"[{0: [0, 1]}]",135,0,0,0,0,1,1,,0,0
433249,uhGr6,vcWoR,,2,10,CANCELLED,174489.0,1253,CIFAR-10,VGG,32,1,3556.88,48.0,19.0,2762.0,0,174540.0,175794.0,0,51.0,1305.0,end,"[{0: [0, 1]}]",2505,0,0,0,0,1,1,,0,0
433250,uhGr6,vcWoR,,2,10,FAILED,174908.0,100,CIFAR-10,ResNet18,128,0,4903.86,96.25,67.0,3072.0,0,174960.0,175061.0,0,52.0,153.0,end,"[{0: [0, 1]}]",199,0,0,0,0,1,1,,0,0
433251,uhGr6,vcWoR,,2,10,CANCELLED,174947.0,582,BipedalWalker,TD3,64,0,59.807,13.303,0.0,2059.0,0,174960.0,175543.0,0,13.0,596.0,end,"[{0: [2, 3]}]",1163,0,0,0,0,1,1,,0,0
433252,uhGr6,vcWoR,,2,10,FAILED,175115.0,144,CIFAR-10,MobileNetV2,32,0,1108.427,42.8,17.0,2508.0,0,175140.0,175285.0,0,25.0,170.0,end,"[{0: [0, 1]}]",287,0,0,0,0,1,1,,0,0
433253,u4TfD,vcWoR,,1,1,COMPLETED,175155.0,371,CIFAR-10,ResNet18,32,1,1649.038,40.667,20.333,2330.0,0,175200.0,175572.0,0,45.0,417.0,end,[{0: [0]}],370,0,0,0,0,1,1,,0,0
433254,u4TfD,vcWoR,,1,1,COMPLETED,175601.0,174,ShapeNet,PointNet,64,1,135.349,6.24,5.32,4532.0,0,175620.0,175795.0,0,19.0,194.0,end,[{0: [0]}],173,0,0,0,0,1,1,,0,0
433256,u4TfD,vcWoR,,1,1,COMPLETED,175661.0,683,CIFAR-10,ResNet18,32,1,1649.038,40.667,20.333,2330.0,0,175680.0,176364.0,0,19.0,703.0,end,[{0: [0]}],682,0,0,0,0,1,1,,0,0
433281,u4TfD,vcWoR,,1,1,CANCELLED,183751.0,937,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,183780.0,184718.0,0,29.0,967.0,end,[{0: [0]}],936,0,0,0,0,1,1,,0,0
433291,u4TfD,vcWoR,,4,4,CANCELLED,184323.0,91246,SQuAD,BERT,32,0,84.872,99.689,62.484,20162.0,0,184380.0,275627.0,0,57.0,91304.0,end,"[{0: [0, 1, 2, 3]}]",364983,0,0,0,0,1,1,,0,0
433316,uNIdB,vcWoR,,1,1,CANCELLED,185491.0,45686,SQuAD,BERT,32,1,119.911,99.593,74.23,16334.0,0,185520.0,231207.0,0,29.0,45716.0,end,[{0: [0]}],45685,0,0,0,0,1,1,,0,0
433333,u4TfD,vcWoR,,4,4,CANCELLED,186512.0,87908,ImageNet,MobileNetV3,128,1,3482.526,86.121,33.939,3216.0,0,186540.0,274449.0,0,28.0,87937.0,end,"[{0: [0, 1, 2, 3]}]",351631,0,0,0,0,1,1,,0,0
433336,u7f9m,vcWoR,,4,1,COMPLETED,186603.0,72061,ImageNet,ResNet50,32,1,670.679,95.864,67.568,3838.0,0,186660.0,258722.0,0,57.0,72119.0,end,"[{0: [1, 2, 3, 4]}]",288243,0,0,0,0,1,1,,0,0
433339,uYsd5,vcWoR,,1,1,COMPLETED,186794.0,57,CIFAR-10,MobileNetV2,64,1,1710.877,41.833,16.167,2528.0,0,186840.0,186898.0,0,46.0,104.0,end,[{0: [4]}],56,0,0,0,0,1,1,,0,0
