job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
433307,uvaiR,vcefl,,8,8,COMPLETED,185004.0,293,CIFAR-10,EfficientNet,32,1,680.977,20.571,1.286,2176.0,0,185040.0,185334.0,0,36.0,330.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",2343,0,0,0,0,1,1,,0,0
433311,uvaiR,vcefl,,8,8,COMPLETED,185147.0,283,CIFAR-10,EfficientNet,32,0,814.137,24.5,3.0,2308.0,0,185160.0,185444.0,0,13.0,297.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",2263,0,0,0,0,1,1,,0,0
433313,uvaiR,vcefl,,8,8,CANCELLED,185284.0,826,LunarLander,PPO,32,0,5.156,12.425,0.0,2051.0,0,185340.0,186167.0,0,56.0,883.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",6607,0,0,0,0,1,1,,0,0
433318,uvaiR,vcefl,,8,8,CANCELLED,185562.0,672,ShapeNet,PointNet,32,1,136.02,7.0,5.615,3334.0,0,185580.0,186253.0,0,18.0,691.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",5375,0,0,0,0,1,1,,0,0
433320,uvaiR,vcefl,,8,8,CANCELLED,185787.0,880,CIFAR-10,EfficientNet,64,1,1371.123,25.5,3.167,2290.0,0,185820.0,186701.0,0,33.0,914.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",7039,0,0,0,0,1,1,,0,0
433324,uvaiR,vcefl,,8,8,CANCELLED,186082.0,386,ShapeNet,PointNet,32,0,131.491,11.533,9.667,3968.0,0,186120.0,186507.0,0,38.0,425.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",3087,0,0,0,0,1,1,,0,0
433327,uvaiR,vcefl,,8,8,COMPLETED,186271.0,647,MovieLens,NeuMF,128,0,29773.989,10.483,2.011,2050.0,0,186300.0,186948.0,0,29.0,677.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",5175,0,0,0,0,1,1,,0,0
433328,uvaiR,vcefl,,8,8,CANCELLED,186273.0,357,ShapeNet,PointNet,32,1,136.02,7.0,5.615,3334.0,0,186300.0,186658.0,0,27.0,385.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",2855,0,0,0,0,1,1,,0,0
433331,uvaiR,vcefl,,8,8,CANCELLED,186394.0,749,ShapeNet,PointNet,128,1,144.304,5.551,4.878,6976.0,0,186420.0,187170.0,0,26.0,776.0,end,"[{0: [0, 1, 2, 3, 4, 5, 6, 7]}]",5991,0,0,0,0,1,1,,0,0
433337,uvaiR,vcefl,,8,8,CANCELLED,186645.0,4720,MovieLens,NeuMF,64,0,15393.307,10.483,2.023,2050.0,0,186660.0,191381.0,0,15.0,4736.0,end,"[{1: [0, 1, 2, 3, 4, 5, 6, 7]}]",37759,0,0,0,0,1,1,,0,0
