2025 Nov 27 09:23:53 | MainProcess | Total Job Number in Cluster Training: 49043
2025 Nov 27 09:24:00 | MainProcess | vcefl | Time: 180000 | Total Job: 723 | End job: 0| Running job: 0 | Pending job: 0
2025 Nov 27 09:24:00 | MainProcess | vcefl | Time: 190000 | Total Job: 723 | End job: 11| Running job: 3 | Pending job: 0
2025 Nov 27 09:24:00 | MainProcess | vcefl | Time: 200000 | Total Job: 723 | End job: 29| Running job: 2 | Pending job: 0
2025 Nov 27 09:24:00 | MainProcess | vcefl | Time: 210000 | Total Job: 723 | End job: 30| Running job: 1 | Pending job: 0
2025 Nov 27 09:24:00 | MainProcess | vcefl | Time: 220000 | Total Job: 723 | End job: 33| Running job: 3 | Pending job: 0
2025 Nov 27 09:24:01 | MainProcess | vcefl | Time: 230000 | Total Job: 723 | End job: 33| Running job: 3 | Pending job: 0
2025 Nov 27 09:24:01 | MainProcess | vcefl | Time: 240000 | Total Job: 723 | End job: 34| Running job: 2 | Pending job: 0
2025 Nov 27 09:24:01 | MainProcess | vcefl | Time: 250000 | Total Job: 723 | End job: 43| Running job: 4 | Pending job: 0
2025 Nov 27 09:24:01 | MainProcess | vcefl | Time: 260000 | Total Job: 723 | End job: 50| Running job: 0 | Pending job: 0
2025 Nov 27 09:24:01 | MainProcess | vcefl | Time: 270000 | Total Job: 723 | End job: 50| Running job: 0 | Pending job: 0
2025 Nov 27 09:24:01 | MainProcess | vcefl | Time: 280000 | Total Job: 723 | End job: 50| Running job: 0 | Pending job: 0
2025 Nov 27 09:24:02 | MainProcess | vcefl | Time: 290000 | Total Job: 723 | End job: 50| Running job: 0 | Pending job: 0
2025 Nov 27 09:24:02 | MainProcess | vcefl | Time: 300000 | Total Job: 723 | End job: 50| Running job: 0 | Pending job: 0
2025 Nov 27 09:24:02 | MainProcess | vcefl | Time: 310000 | Total Job: 723 | End job: 50| Running job: 0 | Pending job: 0
2025 Nov 27 09:24:02 | MainProcess | vcefl | Time: 320000 | Total Job: 723 | End job: 50| Running job: 0 | Pending job: 0
2025 Nov 27 09:24:02 | MainProcess | vcefl | Time: 330000 | Total Job: 723 | End job: 50| Running job: 0 | Pending job: 0
2025 Nov 27 09:24:03 | MainProcess | vcefl | Time: 340000 | Total Job: 723 | End job: 50| Running job: 0 | Pending job: 0
2025 Nov 27 09:24:03 | MainProcess | vcefl | Time: 350000 | Total Job: 723 | End job: 50| Running job: 0 | Pending job: 0
2025 Nov 27 09:24:03 | MainProcess | vcefl | Time: 360000 | Total Job: 723 | End job: 50| Running job: 0 | Pending job: 0
2025 Nov 27 09:24:03 | MainProcess | vcefl | Time: 370000 | Total Job: 723 | End job: 56| Running job: 1 | Pending job: 0
2025 Nov 27 09:24:03 | MainProcess | vcefl | Time: 380000 | Total Job: 723 | End job: 56| Running job: 1 | Pending job: 0
2025 Nov 27 09:24:03 | MainProcess | vcefl | Time: 390000 | Total Job: 723 | End job: 61| Running job: 2 | Pending job: 0
2025 Nov 27 09:24:04 | MainProcess | vcefl | Time: 400000 | Total Job: 723 | End job: 112| Running job: 3 | Pending job: 0
2025 Nov 27 09:24:04 | MainProcess | vcefl | Time: 410000 | Total Job: 723 | End job: 112| Running job: 3 | Pending job: 0
2025 Nov 27 09:24:04 | MainProcess | vcefl | Time: 420000 | Total Job: 723 | End job: 122| Running job: 5 | Pending job: 0
2025 Nov 27 09:24:04 | MainProcess | vcefl | Time: 430000 | Total Job: 723 | End job: 129| Running job: 2 | Pending job: 0
2025 Nov 27 09:24:04 | MainProcess | vcefl | Time: 440000 | Total Job: 723 | End job: 129| Running job: 2 | Pending job: 0
2025 Nov 27 09:24:05 | MainProcess | vcefl | Time: 450000 | Total Job: 723 | End job: 129| Running job: 2 | Pending job: 0
2025 Nov 27 09:24:05 | MainProcess | vcefl | Time: 460000 | Total Job: 723 | End job: 131| Running job: 0 | Pending job: 0
2025 Nov 27 09:24:05 | MainProcess | vcefl | Time: 470000 | Total Job: 723 | End job: 131| Running job: 0 | Pending job: 0
2025 Nov 27 09:24:05 | MainProcess | vcefl | Time: 480000 | Total Job: 723 | End job: 131| Running job: 0 | Pending job: 0
2025 Nov 27 09:24:05 | MainProcess | vcefl | Time: 490000 | Total Job: 723 | End job: 144| Running job: 0 | Pending job: 0
2025 Nov 27 09:24:05 | MainProcess | vcefl | Time: 500000 | Total Job: 723 | End job: 144| Running job: 0 | Pending job: 0
2025 Nov 27 09:24:05 | MainProcess | vcefl | Time: 510000 | Total Job: 723 | End job: 144| Running job: 0 | Pending job: 0
2025 Nov 27 09:24:06 | MainProcess | vcefl | Time: 520000 | Total Job: 723 | End job: 144| Running job: 0 | Pending job: 0
2025 Nov 27 09:24:06 | MainProcess | vcefl | Time: 530000 | Total Job: 723 | End job: 144| Running job: 0 | Pending job: 0
2025 Nov 27 09:24:06 | MainProcess | vcefl | Time: 540000 | Total Job: 723 | End job: 144| Running job: 0 | Pending job: 0
2025 Nov 27 09:24:06 | MainProcess | vcefl | Time: 550000 | Total Job: 723 | End job: 144| Running job: 0 | Pending job: 0
2025 Nov 27 09:24:06 | MainProcess | vcefl | Time: 560000 | Total Job: 723 | End job: 144| Running job: 2 | Pending job: 0
2025 Nov 27 09:24:06 | MainProcess | vcefl | Time: 570000 | Total Job: 723 | End job: 194| Running job: 5 | Pending job: 0
2025 Nov 27 09:24:07 | MainProcess | vcefl | Time: 580000 | Total Job: 723 | End job: 196| Running job: 3 | Pending job: 0
2025 Nov 27 09:24:07 | MainProcess | vcefl | Time: 590000 | Total Job: 723 | End job: 203| Running job: 7 | Pending job: 0
2025 Nov 27 09:24:07 | MainProcess | vcefl | Time: 600000 | Total Job: 723 | End job: 225| Running job: 6 | Pending job: 0
2025 Nov 27 09:24:07 | MainProcess | vcefl | Time: 610000 | Total Job: 723 | End job: 225| Running job: 6 | Pending job: 0
2025 Nov 27 09:24:07 | MainProcess | vcefl | Time: 620000 | Total Job: 723 | End job: 228| Running job: 7 | Pending job: 0
2025 Nov 27 09:24:08 | MainProcess | vcefl | Time: 630000 | Total Job: 723 | End job: 240| Running job: 7 | Pending job: 0
2025 Nov 27 09:24:08 | MainProcess | vcefl | Time: 640000 | Total Job: 723 | End job: 243| Running job: 4 | Pending job: 0
