job_id,user,vc,jobname,gpu_num,cpu_num,state,submit_time,duration,dataset,model,batchsize,amp,speed,gpu_util,gmem_util,gmem,remain,start_time,end_time,ckpt_times,queue,jct,status,nodes,priority,random,profiled,profqueue,toskip,exclusive,rate,sharescore,Tcolocate,Tdelocate
433240,u4TfD,vcWoR,,1,1,COMPLETED,172854.0,681,CIFAR-10,MobileNetV2,128,1,2866.76,55.714,28.286,2992.0,0,172854.0,173535.0,0,0.0,681.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433243,u4TfD,vcWoR,,1,1,COMPLETED,173367.0,765,CIFAR-10,MobileNetV2,32,1,895.251,28.833,7.333,2320.0,0,173367.0,174132.0,0,0.0,765.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433244,uhGr6,vcWoR,,2,10,FAILED,173630.0,90,CIFAR-10,MobileNetV2,32,1,895.251,28.833,7.333,2320.0,0,173630.0,173720.0,0,0.0,90.0,end,"[{0: [0, 1]}]",-1,0,0,0,0,1,1,,0,0
433247,u4TfD,vcWoR,,1,1,COMPLETED,173932.0,679,LunarLander,PPO,32,0,5.156,12.425,0.0,2051.0,0,173932.0,174611.0,0,0.0,679.0,end,[{0: [0]}],-1,0,0,0,0,1,1,,0,0
433248,uhGr6,vcWoR,,2,10,FAILED,174429.0,68,BipedalWalker,TD3,32,0,16.292,12.828,0.0,2059.0,0,174429.0,174497.0,0,0.0,68.0,end,"[{0: [0, 1]}]",-1,0,0,0,0,1,1,,0,0
433249,uhGr6,vcWoR,,2,10,CANCELLED,174489.0,1253,CIFAR-10,VGG,32,1,3556.88,48.0,19.0,2762.0,0,174489.0,175742.0,0,0.0,1253.0,end,"[{0: [0, 1]}]",-1,0,0,0,0,1,1,,0,0
433250,uhGr6,vcWoR,,2,10,FAILED,174908.0,100,CIFAR-10,ResNet18,128,0,4903.86,96.25,67.0,3072.0,0,174908.0,175008.0,0,0.0,100.0,end,"[{0: [0, 1]}]",-1,0,0,0,0,1,1,,0,0
433251,uhGr6,vcWoR,,2,10,CANCELLED,174947.0,582,BipedalWalker,TD3,64,0,59.807,13.303,0.0,2059.0,0,174947.0,175529.0,0,0.0,582.0,end,"[{0: [0, 1]}]",-1,0,0,0,0,1,1,,0,0
433252,uhGr6,vcWoR,,2,10,FAILED,175115.0,144,CIFAR-10,MobileNetV2,32,0,1108.427,42.8,17.0,2508.0,0,175115.0,175259.0,0,0.0,144.0,end,"[{0: [0, 1]}]",-1,0,0,0,0,1,1,,0,0
433253,u4TfD,vcWoR,,1,1,COMPLETED,175155.0,371,CIFAR-10,ResNet18,32,1,1649.038,40.667,20.333,2330.0,0,175155.0,175526.0,0,0.0,371.0,end,[{0: [2]}],-1,0,0,0,0,1,1,,0,0
